uniqueid,bank_account,location_type,cellphone_access,household_size,age_of_respondent,gender_of_respondent,relationship_with_head,marital_status,education_level,job_type
uniqueid_8538,No,Rural,Yes,4.0,30,Male,Head of Household,Married/Living together,No formal education,Informally employed
uniqueid_2907,No,Rural,Yes,1.0,65,Female,Head of Household,Widowed,No formal education,Farming and Fishing
uniqueid_5821,No,Rural,Yes,3.0,49,Female,Spouse,Married/Living together,Secondary education,Informally employed
uniqueid_2480,No,Urban,Yes,4.0,32,Female,Spouse,Married/Living together,Primary education,Self employed
uniqueid_316,No,Rural,Yes,7.0,36,Female,Spouse,Married/Living together,Primary education,Informally employed
uniqueid_7944,No,Rural,Yes,2.0,30,Male,Child,Single/Never Married,Secondary education,Formally employed Government
uniqueid_2820,No,Rural,Yes,4.0,47,Female,Head of Household,Widowed,No formal education,Other Income
uniqueid_718,No,Rural,Yes,4.0,20,Male,Child,Single/Never Married,Secondary education,Informally employed
uniqueid_7673,No,Rural,Yes,2.0,64,Female,Head of Household,Widowed,No formal education,Farming and Fishing
uniqueid_936,No,Rural,Yes,5.0,16,Female,Child,Single/Never Married,Primary education,Remittance Dependent
uniqueid_4048,No,Rural,Yes,3.0,67,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
uniqueid_7126,No,Rural,No,3.0,25,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_1234,No,Rural,No,5.0,56,Female,Spouse,Married/Living together,No formal education,Informally employed
uniqueid_4865,No,Rural,No,2.0,71,Female,Head of Household,Widowed,No formal education,Farming and Fishing
uniqueid_7406,No,Rural,No,1.0,40,Female,Head of Household,Single/Never Married,No formal education,Informally employed
uniqueid_1671,No,Rural,Yes,7.0,53,Female,Head of Household,Widowed,Primary education,Farming and Fishing
uniqueid_4843,No,Urban,Yes,7.0,35,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
uniqueid_5068,No,Rural,No,,34,Female,Head of Household,Divorced/Seperated,Primary education,Farming and Fishing
uniqueid_7015,Yes,Rural,Yes,7.0,39,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_3901,No,Rural,Yes,3.0,25,Female,Spouse,Married/Living together,Primary education,Informally employed
uniqueid_5892,No,Rural,Yes,5.0,17,Male,Parent,Single/Never Married,Primary education,Farming and Fishing
uniqueid_1126,No,Rural,Yes,7.0,41,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
uniqueid_3100,No,Rural,Yes,7.0,58,Female,Spouse,Married/Living together,Primary education,Informally employed
uniqueid_8682,No,Rural,Yes,4.0,35,Female,Head of Household,Divorced/Seperated,Primary education,Other Income
uniqueid_1155,No,Rural,Yes,5.0,31,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_5456,No,Rural,Yes,3.0,24,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
uniqueid_1218,Yes,Urban,Yes,7.0,52,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
uniqueid_2091,No,Rural,Yes,5.0,33,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_2568,No,Urban,Yes,5.0,19,Female,Other non-relatives,Single/Never Married,Primary education,Other Income
uniqueid_3032,No,Rural,Yes,3.0,29,Female,Head of Household,Single/Never Married,No formal education,Informally employed
uniqueid_4944,No,Urban,Yes,3.0,29,Female,Child,Single/Never Married,Primary education,Informally employed
uniqueid_1665,No,Rural,Yes,5.0,57,Female,Spouse,Married/Living together,No formal education,Remittance Dependent
uniqueid_2001,No,Urban,Yes,5.0,27,Female,Spouse,Married/Living together,No formal education,Informally employed
uniqueid_1134,No,Rural,Yes,6.0,27,Male,Child,Single/Never Married,Primary education,Informally employed
uniqueid_6441,No,Rural,Yes,3.0,26,Male,Head of Household,Married/Living together,No formal education,Informally employed
uniqueid_1588,No,Rural,No,2.0,61,Female,Head of Household,Widowed,No formal education,Informally employed
uniqueid_2513,No,Rural,Yes,4.0,26,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
uniqueid_8570,No,Rural,Yes,3.0,66,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_897,No,Rural,Yes,4.0,31,Female,Spouse,Married/Living together,No formal education,Informally employed
uniqueid_3462,No,Urban,Yes,5.0,25,Female,Child,Single/Never Married,Primary education,Farming and Fishing
uniqueid_5529,No,Rural,Yes,2.0,40,Female,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_5253,No,Rural,Yes,6.0,31,Female,Spouse,Married/Living together,Secondary education,Self employed
uniqueid_2109,No,Rural,Yes,2.0,61,Female,Head of Household,Widowed,No formal education,Farming and Fishing
uniqueid_720,No,Rural,Yes,2.0,83,Male,Head of Household,Married/Living together,Primary education,Remittance Dependent
uniqueid_1601,No,Rural,Yes,7.0,43,Female,Spouse,Married/Living together,Primary education,Informally employed
uniqueid_2113,No,Urban,Yes,6.0,22,Female,Parent,Single/Never Married,Secondary education,Remittance Dependent
uniqueid_7112,No,Rural,No,4.0,42,Male,Head of Household,Divorced/Seperated,No formal education,Farming and Fishing
uniqueid_5034,No,Rural,Yes,4.0,18,Male,Child,Single/Never Married,Secondary education,Farming and Fishing
uniqueid_906,No,Rural,No,7.0,21,Female,Child,Single/Never Married,Primary education,Remittance Dependent
uniqueid_2699,No,Rural,Yes,11.0,25,Female,Child,Single/Never Married,Secondary education,Farming and Fishing
uniqueid_2900,No,Rural,Yes,,27,Male,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_2462,No,Rural,No,4.0,48,Female,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_2274,No,Rural,No,,16,Male,Child,Single/Never Married,Primary education,Informally employed
uniqueid_8645,No,Rural,Yes,9.0,38,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_6010,No,Rural,Yes,6.0,41,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
